session_id,customer_id,product_id,device_id,date_id,quantity,abandon_date,abandon_time,is_abandoned
37,815,8,3,250,2,2023-12-08,2025-12-18 16:28:45,1
38,229,25,5,41,4,,,0
39,211,3,5,238,4,2023-02-22,2025-12-18 02:41:53,1
40,256,3,3,198,1,2023-05-15,2025-12-18 07:20:05,1
41,657,3,5,174,3,2023-02-22,2025-12-18 19:54:09,1
42,709,3,5,233,5,2023-09-21,2025-12-18 02:43:35,1
43,38,22,3,141,2,2023-10-25,2025-12-18 17:30:36,1
44,99,23,5,119,5,,,0
45,139,20,2,341,1,,,0
46,216,13,5,178,5,,,0
47,941,9,5,176,4,,,0
48,259,21,3,310,3,2023-05-30,2025-12-18 17:42:13,1
49,228,10,3,321,1,,,0
50,78,9,3,151,4,2023-10-21,2025-12-18 16:36:40,1
51,551,12,1,226,1,,,0
52,555,16,1,4,3,2023-06-08,2025-12-18 20:45:34,1
53,307,8,1,199,2,2023-08-08,2025-12-18 00:48:27,1
54,35,4,1,287,5,2023-09-02,2025-12-18 23:22:05,1
55,922,12,2,319,4,2023-12-08,2025-12-18 11:15:49,1
56,933,2,5,8,1,2023-01-28,2025-12-18 03:27:59,1
57,822,18,3,191,5,2023-06-11,2025-12-18 21:20:50,1
58,674,21,3,76,4,,,0
59,753,11,1,30,2,2023-03-31,2025-12-18 15:23:05,1
60,975,19,3,74,4,2023-10-12,2025-12-18 22:24:13,1
61,206,13,3,333,3,,,0
62,646,4,1,11,3,2023-08-22,2025-12-18 00:09:01,1
63,358,20,4,282,5,,,0
64,80,6,1,290,1,2023-12-02,2025-12-18 03:45:10,1
65,588,14,4,328,5,2023-08-27,2025-12-18 01:48:39,1
66,694,4,1,104,3,2023-08-12,2025-12-18 09:56:58,1
67,821,12,1,238,5,2023-11-11,2025-12-18 12:21:07,1
68,173,17,3,8,5,,,0
69,125,13,3,130,4,2023-06-27,2025-12-18 11:12:48,1
70,242,6,2,307,2,2023-08-03,2025-12-18 19:16:51,1
71,109,16,5,228,4,2023-12-21,2025-12-18 17:41:08,1
72,478,15,4,59,4,2023-03-09,2025-12-18 03:44:14,1
73,707,20,2,214,5,2023-01-08,2025-12-18 02:02:33,1
74,850,19,2,129,3,,,0
75,337,11,2,114,5,,,0
76,646,15,5,95,2,,,0
77,284,23,3,28,2,2023-04-25,2025-12-18 08:31:10,1
78,398,1,1,205,3,,,0
79,110,13,1,50,3,,,0
80,190,3,3,66,2,,,0
81,681,13,3,29,3,2023-10-05,2025-12-18 17:55:15,1
82,305,1,2,227,2,,,0
83,681,6,5,195,1,2023-09-23,2025-12-18 19:56:41,1
84,658,16,2,77,3,2023-12-11,2025-12-18 08:39:06,1
85,675,10,5,43,5,,,0
86,539,1,1,227,1,2023-11-26,2025-12-18 04:12:21,1
87,740,10,5,178,5,,,0
88,249,5,5,329,4,2023-02-21,2025-12-18 22:40:57,1
89,846,4,1,235,5,,,0
90,114,14,4,136,3,,,0
91,592,10,4,203,4,,,0
92,144,1,3,326,4,,,0
93,833,21,5,352,5,2023-02-01,2025-12-18 09:30:00,1
94,149,5,1,151,1,,,0
95,463,4,4,143,5,2023-12-05,2025-12-18 14:02:23,1
96,689,19,1,362,3,2023-05-12,2025-12-18 16:09:38,1
97,283,23,3,315,4,2023-11-03,2025-12-18 23:51:58,1
98,607,8,2,85,2,,,0
99,839,22,4,179,1,2023-06-20,2025-12-18 02:46:18,1
100,897,25,2,63,2,2023-07-27,2025-12-18 13:44:37,1
101,499,9,5,115,2,,,0
102,841,3,3,21,1,2023-05-13,2025-12-18 07:26:10,1
103,113,5,5,28,5,,,0
104,827,13,3,253,5,2023-04-21,2025-12-18 15:26:56,1
105,563,4,5,315,3,2023-10-10,2025-12-18 17:15:21,1
106,807,14,5,192,2,2023-11-07,2025-12-18 02:14:40,1
107,515,12,2,245,4,,,0
108,562,16,2,295,4,2023-11-20,2025-12-18 19:52:30,1
109,599,5,5,102,3,,,0
110,938,3,3,257,3,,,0
111,510,20,3,325,4,2023-10-17,2025-12-18 04:40:09,1
112,115,7,5,254,3,,,0
113,750,18,1,341,4,,,0
114,594,20,1,280,5,,,0
115,200,1,2,180,1,,,0
116,713,9,5,243,2,2023-04-10,2025-12-18 20:21:49,1
117,239,11,1,73,1,,,0
118,378,14,1,149,3,,,0
119,369,2,3,303,5,,,0
120,856,25,4,122,4,2023-05-11,2025-12-18 20:31:46,1
121,840,11,5,5,2,2023-11-23,2025-12-18 15:19:35,1
122,978,25,2,185,2,,,0
123,742,11,5,346,2,2023-01-05,2025-12-18 07:01:19,1
124,151,7,4,214,1,2023-07-13,2025-12-18 09:02:30,1
125,313,19,1,34,1,2023-02-25,2025-12-18 21:26:20,1
126,249,14,5,150,3,,,0
127,123,20,3,67,4,2023-12-22,2025-12-18 13:37:42,1
128,542,1,1,89,4,2023-05-07,2025-12-18 23:14:20,1
129,239,25,2,287,3,2023-08-18,2025-12-18 18:26:24,1
130,137,19,3,334,5,,,0
131,843,12,4,245,2,2023-05-24,2025-12-18 08:50:01,1
132,794,23,1,63,2,,,0
133,498,23,3,154,2,2023-01-30,2025-12-18 18:47:03,1
134,310,6,1,261,2,,,0
135,630,25,1,291,2,,,0
136,207,2,3,152,3,2023-03-02,2025-12-18 20:57:05,1
137,244,1,2,297,5,,,0
138,404,17,1,226,3,,,0
139,290,23,4,64,4,2023-06-17,2025-12-18 03:27:55,1
140,383,8,1,244,1,,,0
141,915,22,3,221,1,2023-02-01,2025-12-18 05:09:46,1
142,557,22,3,275,1,,,0
143,782,24,2,52,2,2023-08-29,2025-12-18 00:47:35,1
144,413,6,2,71,1,,,0
145,630,3,4,64,3,,,0
146,928,8,5,210,4,,,0
147,727,13,4,45,3,,,0
148,817,18,4,44,2,,,0
149,133,8,3,360,3,2023-11-28,2025-12-18 16:07:52,1
150,587,10,4,106,1,2023-09-03,2025-12-18 19:26:10,1
151,366,4,2,193,3,2023-03-15,2025-12-18 05:07:36,1
152,878,4,3,7,2,2023-05-23,2025-12-18 12:57:28,1
153,331,22,3,56,2,2023-05-21,2025-12-18 20:48:10,1
154,878,10,5,104,2,2023-05-09,2025-12-18 09:33:48,1
155,63,16,2,361,4,,,0
156,715,9,2,309,5,2023-11-05,2025-12-18 00:48:52,1
157,817,3,2,174,4,,,0
158,800,15,5,332,3,2023-04-28,2025-12-18 22:30:22,1
159,770,4,3,167,3,,,0
160,528,8,2,312,5,,,0
161,473,7,2,351,2,,,0
162,257,22,3,13,5,,,0
163,993,6,5,114,5,,,0
164,16,7,2,44,3,2023-01-17,2025-12-18 18:57:49,1
165,344,7,4,166,1,,,0
166,338,17,5,147,2,2023-06-07,2025-12-18 04:20:32,1
167,907,15,5,137,3,2023-12-31,2025-12-18 10:34:56,1
168,838,25,4,301,4,,,0
169,626,2,1,171,5,2023-12-20,2025-12-18 23:11:43,1
170,930,20,2,99,5,,,0
171,513,7,5,121,5,2023-11-01,2025-12-18 22:15:14,1
172,133,3,4,145,4,,,0
173,642,18,3,284,1,,,0
174,758,10,2,229,3,2023-01-26,2025-12-18 16:13:47,1
175,867,20,1,14,2,,,0
176,497,1,3,122,4,,,0
177,828,9,3,285,3,2023-12-06,2025-12-18 18:38:22,1
178,594,22,5,314,3,2023-01-03,2025-12-18 06:04:05,1
179,584,22,5,113,4,,,0
180,749,25,3,325,1,,,0
181,401,22,1,217,3,,,0
182,113,16,5,27,4,2023-10-05,2025-12-18 06:00:20,1
183,835,24,5,224,1,2023-03-11,2025-12-18 22:48:13,1
184,512,23,3,251,4,2023-06-28,2025-12-18 14:45:12,1
185,663,24,4,108,4,,,0
186,73,14,5,45,4,,,0
187,385,15,2,145,5,2023-09-03,2025-12-18 01:33:54,1
188,806,21,2,301,5,,,0
189,259,3,5,296,5,,,0
190,231,19,4,207,2,2023-01-04,2025-12-18 08:09:51,1
191,142,23,2,219,4,2023-10-01,2025-12-18 19:31:53,1
192,95,9,1,104,4,,,0
193,701,6,2,173,3,,,0
194,950,9,4,9,5,2023-06-02,2025-12-18 23:23:17,1
195,726,21,3,49,3,,,0
196,601,9,1,73,2,2023-02-14,2025-12-18 10:30:23,1
197,482,8,2,338,2,2023-05-09,2025-12-18 23:44:20,1
198,469,19,1,174,4,,,0
199,268,6,1,150,2,2023-02-18,2025-12-18 17:07:25,1
200,913,5,2,112,5,2023-06-28,2025-12-18 02:23:03,1
201,28,4,3,258,4,,,0
202,634,10,4,12,5,,,0
203,678,10,4,198,3,2023-01-27,2025-12-18 15:35:52,1
204,917,4,1,317,1,,,0
205,478,9,4,2,3,,,0
206,979,23,5,176,2,,,0
207,203,18,4,15,5,,,0
208,204,2,4,188,1,,,0
209,460,1,1,160,5,2023-04-17,2025-12-18 20:44:27,1
210,129,24,1,334,2,2023-08-31,2025-12-18 07:16:57,1
211,236,7,1,305,3,,,0
212,607,2,5,51,2,,,0
213,618,2,1,15,2,2023-06-14,2025-12-18 05:57:42,1
214,376,2,2,189,2,2023-06-18,2025-12-18 14:06:50,1
215,609,12,3,343,2,,,0
216,70,7,5,81,5,,,0
217,188,19,2,55,3,2023-06-30,2025-12-18 08:07:31,1
218,260,9,5,95,1,2023-07-03,2025-12-18 03:48:59,1
219,790,10,2,40,5,,,0
220,856,5,3,323,3,2023-02-28,2025-12-18 17:43:31,1
221,271,6,2,355,5,,,0
222,442,9,3,331,1,,,0
223,114,22,1,29,2,,,0
224,379,20,2,292,4,,,0
225,509,9,3,289,2,,,0
226,261,3,2,140,5,,,0
227,962,4,2,220,2,2023-12-13,2025-12-18 04:58:07,1
228,613,24,3,207,2,,,0
229,531,17,3,228,5,,,0
230,363,1,5,340,4,2023-02-16,2025-12-18 23:35:25,1
231,734,5,3,104,3,2023-03-16,2025-12-18 23:47:06,1
232,153,20,4,98,4,2023-05-22,2025-12-18 05:34:39,1
233,386,13,2,49,2,2023-06-16,2025-12-18 12:52:51,1
234,549,23,5,174,5,2023-04-29,2025-12-18 22:17:04,1
235,866,21,5,44,1,,,0
236,365,2,5,157,4,2023-09-25,2025-12-18 18:58:26,1
237,40,24,1,60,1,2023-03-29,2025-12-18 13:34:51,1
238,517,23,4,326,1,2023-07-07,2025-12-18 21:22:06,1
239,400,13,5,240,1,,,0
240,703,17,3,47,4,,,0
241,46,21,5,58,3,,,0
242,275,22,1,216,1,2023-06-13,2025-12-18 08:52:00,1
243,807,23,5,185,1,2023-03-28,2025-12-18 00:46:02,1
244,374,5,2,100,2,2023-10-03,2025-12-18 10:31:09,1
245,421,12,4,329,3,2023-06-14,2025-12-18 03:10:08,1
246,23,11,2,97,5,,,0
247,312,7,1,203,4,,,0
248,603,25,3,216,2,2023-04-21,2025-12-18 21:34:21,1
249,297,1,3,211,2,,,0
250,297,1,1,47,1,,,0
251,666,16,5,61,1,2023-09-30,2025-12-18 23:50:09,1
252,857,23,1,211,5,2023-04-28,2025-12-18 07:09:25,1
253,506,7,2,123,1,,,0
254,429,15,2,348,4,,,0
255,345,19,2,315,3,,,0
256,244,6,5,78,1,2023-11-20,2025-12-18 15:49:32,1
257,465,11,3,26,1,,,0
258,599,23,5,177,5,2023-10-17,2025-12-18 12:40:20,1
259,95,15,1,222,2,2023-11-25,2025-12-18 01:01:02,1
260,702,12,5,270,2,2023-12-09,2025-12-18 06:58:20,1
261,630,19,4,211,2,2023-04-06,2025-12-18 17:48:39,1
262,766,21,4,194,4,,,0
263,488,24,3,164,4,,,0
264,596,16,1,229,3,,,0
265,814,16,2,105,1,2023-05-02,2025-12-18 10:16:07,1
266,966,22,3,360,1,,,0
267,961,17,1,227,1,,,0
268,373,23,1,198,4,,,0
269,349,3,2,292,5,2023-03-22,2025-12-18 21:20:36,1
270,287,10,5,310,3,2023-09-01,2025-12-18 14:42:19,1
271,439,9,2,154,1,,,0
272,225,19,4,163,1,2023-08-17,2025-12-18 13:21:04,1
273,522,3,5,247,5,2023-10-27,2025-12-18 22:59:16,1
274,11,8,5,143,4,2023-07-06,2025-12-18 08:01:06,1
275,114,22,4,70,3,,,0
276,754,11,5,141,5,,,0
277,60,4,1,212,2,2023-12-31,2025-12-18 18:54:18,1
278,769,18,1,152,1,2023-05-25,2025-12-18 06:06:59,1
279,448,1,3,189,4,,,0
280,743,18,2,81,4,2023-04-07,2025-12-18 05:32:29,1
281,996,6,3,9,4,,,0
282,158,6,5,154,2,2023-05-27,2025-12-18 09:18:31,1
283,12,3,3,249,4,,,0
284,928,19,5,330,4,2023-08-27,2025-12-18 19:00:19,1
285,992,17,1,56,3,2023-02-16,2025-12-18 00:41:08,1
286,479,18,3,85,1,,,0
287,625,2,2,9,1,,,0
288,478,6,3,5,4,,,0
289,348,9,1,226,4,2023-02-19,2025-12-18 17:59:02,1
290,54,16,5,157,1,2023-11-11,2025-12-18 01:39:04,1
291,660,8,4,43,2,2023-08-12,2025-12-18 16:46:06,1
292,759,6,4,220,2,,,0
293,373,8,3,210,1,2023-08-30,2025-12-18 20:02:01,1
294,495,24,1,95,5,,,0
295,625,17,3,79,5,,,0
296,764,23,5,207,4,,,0
297,592,11,4,165,2,,,0
298,611,2,1,42,3,,,0
299,806,17,2,339,1,,,0
300,528,1,1,109,3,,,0
301,85,17,3,2,1,2023-01-05,2025-12-18 02:36:58,1
302,943,8,3,352,4,2023-06-02,2025-12-18 03:07:40,1
303,923,9,5,74,4,2023-10-04,2025-12-18 13:48:02,1
304,481,20,3,355,3,2023-05-20,2025-12-18 12:40:15,1
305,166,19,2,121,1,,,0
306,726,19,5,165,2,,,0
307,202,8,3,321,4,,,0
308,84,16,5,309,4,,,0
309,86,15,2,302,5,2023-04-20,2025-12-18 13:50:59,1
310,918,3,3,19,2,,,0
311,305,17,2,43,4,2023-05-07,2025-12-18 03:36:51,1
312,223,25,2,104,5,2023-04-19,2025-12-18 05:13:46,1
313,856,19,1,224,4,,,0
314,949,7,1,17,2,,,0
315,794,21,3,62,2,2023-04-12,2025-12-18 13:42:11,1
316,522,23,5,326,1,,,0
317,712,12,3,34,2,,,0
318,720,17,4,184,2,2023-08-21,2025-12-18 03:00:12,1
319,644,1,2,287,3,,,0
320,643,17,5,193,1,2023-11-19,2025-12-18 18:37:03,1
321,595,12,4,63,4,2023-01-03,2025-12-18 16:50:05,1
322,666,24,1,86,2,2023-11-27,2025-12-18 03:21:59,1
323,532,3,2,327,2,2023-08-29,2025-12-18 13:11:03,1
324,988,13,5,168,4,,,0
325,742,22,4,151,4,2023-07-03,2025-12-18 06:53:12,1
326,326,11,3,129,3,,,0
327,599,11,3,6,4,2023-07-25,2025-12-18 11:43:56,1
328,815,6,4,307,3,,,0
329,304,9,4,270,4,2023-11-08,2025-12-18 20:57:48,1
330,155,13,4,72,1,2023-11-23,2025-12-18 16:49:23,1
331,283,10,3,12,4,2023-12-03,2025-12-18 15:37:31,1
332,94,14,1,12,4,,,0
333,425,23,5,59,3,,,0
334,942,25,4,349,3,,,0
335,369,24,1,192,5,2023-06-02,2025-12-18 05:58:37,1
336,526,13,1,129,2,2023-11-26,2025-12-18 04:10:19,1
337,167,18,4,39,4,2023-01-19,2025-12-18 13:19:07,1
338,325,2,1,56,3,2023-05-06,2025-12-18 16:43:24,1
339,254,13,4,96,1,,,0
340,743,4,1,325,4,2023-05-15,2025-12-18 23:06:27,1
341,479,2,4,212,4,2023-08-27,2025-12-18 00:02:20,1
342,952,13,2,74,4,2023-12-14,2025-12-18 02:32:27,1
343,943,11,3,162,3,2023-03-19,2025-12-18 05:03:56,1
344,460,23,5,57,1,2023-12-08,2025-12-18 21:00:15,1
345,976,12,3,66,3,2023-12-08,2025-12-18 15:57:58,1
346,474,17,3,72,2,,,0
347,66,20,1,130,2,2023-10-04,2025-12-18 14:32:35,1
348,854,5,1,103,3,,,0
349,746,5,4,14,2,2023-10-17,2025-12-18 00:35:48,1
350,907,21,1,242,3,2023-02-21,2025-12-18 19:58:12,1
351,159,20,5,21,5,2023-10-29,2025-12-18 04:38:47,1
352,603,20,2,117,3,2023-01-26,2025-12-18 19:31:43,1
353,173,12,3,348,4,,,0
354,178,9,3,360,1,2023-10-31,2025-12-18 10:08:58,1
355,391,9,1,179,5,,,0
356,446,25,1,117,2,,,0
357,714,21,3,336,2,,,0
358,569,5,5,328,2,2023-02-14,2025-12-18 06:04:51,1
359,112,9,4,246,5,,,0
360,338,15,2,154,1,2023-03-20,2025-12-18 09:07:23,1
361,453,22,5,125,2,2023-09-27,2025-12-18 23:48:39,1
362,910,8,2,339,3,2023-04-24,2025-12-18 10:08:05,1
363,669,11,1,164,1,2023-08-31,2025-12-18 00:35:12,1
364,388,5,3,203,3,2023-10-01,2025-12-18 14:46:14,1
365,694,25,4,121,2,,,0
366,483,19,2,66,2,2023-09-28,2025-12-18 03:43:15,1
367,480,16,1,34,5,,,0
368,226,22,5,93,2,2023-07-17,2025-12-18 08:32:12,1
369,410,11,5,270,4,,,0
370,813,2,5,208,3,,,0
371,713,12,1,101,5,,,0
372,336,12,1,332,5,,,0
373,735,23,2,125,4,2023-04-19,2025-12-18 00:18:52,1
374,328,15,2,48,5,2023-11-26,2025-12-18 10:01:49,1
375,534,13,4,73,1,,,0
376,499,20,5,162,1,,,0
377,33,23,5,104,4,2023-04-21,2025-12-18 08:37:21,1
378,784,1,1,197,2,2023-11-05,2025-12-18 13:03:29,1
379,18,7,2,264,5,2023-04-22,2025-12-18 01:46:37,1
380,299,11,4,110,4,2023-12-13,2025-12-18 16:48:37,1
381,595,7,4,128,2,,,0
382,724,21,2,93,1,2023-10-06,2025-12-18 14:14:44,1
383,692,24,3,66,4,2023-10-27,2025-12-18 11:08:38,1
384,475,11,4,114,3,,,0
385,943,23,5,295,3,,,0
386,270,17,3,233,5,2023-08-19,2025-12-18 09:56:31,1
387,163,1,5,31,4,2023-01-24,2025-12-18 09:25:15,1
388,753,9,2,265,2,2023-01-20,2025-12-18 20:27:24,1
389,96,19,3,309,4,2023-09-06,2025-12-18 06:28:13,1
390,635,17,1,20,3,2023-03-22,2025-12-18 03:06:01,1
391,95,14,5,326,4,2023-01-09,2025-12-18 05:31:44,1
392,867,25,1,39,4,,,0
393,558,21,3,310,4,,,0
394,195,19,2,42,2,,,0
395,714,25,2,262,4,,,0
396,930,5,1,96,1,2023-10-04,2025-12-18 10:13:19,1
397,467,17,4,141,3,,,0
398,668,23,3,72,5,,,0
399,377,6,4,177,3,,,0
400,86,21,3,161,2,,,0
401,507,23,4,195,2,2023-10-01,2025-12-18 10:03:41,1
402,420,24,2,82,4,2023-11-06,2025-12-18 21:13:36,1
403,932,20,2,203,3,,,0
404,602,15,2,119,5,2023-12-15,2025-12-18 13:15:06,1
405,606,14,3,280,2,,,0
406,265,5,5,332,5,2023-12-06,2025-12-18 06:30:02,1
407,661,4,3,354,1,,,0
408,406,19,5,242,4,,,0
409,181,13,1,293,1,,,0
410,421,20,1,177,2,2023-10-15,2025-12-18 19:55:48,1
411,292,4,2,77,1,,,0
412,323,20,2,166,5,,,0
413,591,24,4,208,1,2023-02-18,2025-12-18 16:40:09,1
414,334,18,5,54,5,2023-02-08,2025-12-18 00:30:13,1
415,998,4,5,260,1,,,0
416,902,9,1,42,1,2023-12-09,2025-12-18 20:04:04,1
417,748,19,4,226,2,2023-08-09,2025-12-18 09:56:17,1
418,651,20,1,91,1,2023-01-28,2025-12-18 17:15:27,1
419,619,15,3,63,5,,,0
420,762,7,1,53,3,2023-11-02,2025-12-18 15:55:59,1
421,968,7,2,99,3,2023-02-28,2025-12-18 20:36:00,1
422,648,1,4,206,5,2023-06-18,2025-12-18 10:51:24,1
423,168,4,5,90,5,,,0
424,607,5,1,149,4,,,0
425,826,13,1,167,3,2023-04-27,2025-12-18 09:59:14,1
426,600,23,4,304,4,,,0
427,723,5,4,63,1,,,0
428,434,17,2,358,3,2023-12-08,2025-12-18 12:12:23,1
429,388,12,5,125,4,,,0
430,25,8,5,351,4,,,0
431,1000,4,5,27,5,2023-09-07,2025-12-18 14:37:18,1
432,188,24,5,291,2,2023-11-07,2025-12-18 04:24:04,1
433,850,20,3,158,3,2023-05-01,2025-12-18 11:23:28,1
434,590,12,1,45,2,,,0
435,658,17,2,116,4,2023-08-28,2025-12-18 21:24:53,1
436,435,22,2,19,5,,,0
437,237,5,1,116,2,2023-08-30,2025-12-18 19:07:31,1
438,733,7,2,249,2,2023-09-19,2025-12-18 03:41:31,1
439,766,16,2,345,2,2023-02-28,2025-12-18 04:00:30,1
440,486,14,2,326,2,,,0
441,709,4,3,124,3,2023-04-02,2025-12-18 09:26:19,1
442,622,24,1,339,5,2023-05-12,2025-12-18 01:02:53,1
443,514,22,3,360,4,2023-01-07,2025-12-18 12:50:35,1
444,205,10,4,4,3,2023-04-09,2025-12-18 21:19:09,1
445,715,23,4,246,2,2023-03-01,2025-12-18 10:42:35,1
446,562,2,3,159,1,,,0
447,60,5,1,299,1,,,0
448,13,14,3,177,3,2023-04-06,2025-12-18 06:07:12,1
449,659,18,4,100,1,2023-03-04,2025-12-18 11:22:45,1
450,366,7,2,23,1,2023-02-15,2025-12-18 23:35:06,1
451,633,9,4,356,4,,,0
452,79,18,1,80,3,,,0
453,249,2,3,180,5,,,0
454,289,20,1,223,3,,,0
455,139,8,5,139,1,,,0
456,108,18,3,87,3,,,0
457,194,11,3,331,4,2023-05-02,2025-12-18 11:21:08,1
458,229,8,5,38,3,2023-05-21,2025-12-18 21:01:18,1
459,783,23,4,304,5,2023-09-02,2025-12-18 21:53:25,1
460,576,11,4,278,1,,,0
461,772,10,1,170,4,,,0
462,202,17,4,106,3,2023-09-14,2025-12-18 16:28:01,1
463,86,14,3,53,1,,,0
464,104,24,1,78,2,2023-04-25,2025-12-18 09:48:36,1
465,361,20,5,198,1,2023-12-11,2025-12-18 00:53:56,1
466,554,11,3,269,1,,,0
467,785,15,2,290,1,2023-09-22,2025-12-18 19:19:02,1
468,819,17,5,308,2,2023-01-25,2025-12-18 01:06:05,1
469,654,16,2,312,2,2023-11-12,2025-12-18 19:02:28,1
470,46,19,2,350,4,,,0
471,402,1,4,2,4,,,0
472,679,20,3,6,2,2023-01-07,2025-12-18 06:55:34,1
473,292,19,1,354,1,2023-02-07,2025-12-18 05:34:27,1
474,868,5,1,72,4,2023-09-16,2025-12-18 13:31:39,1
475,898,11,5,144,5,,,0
476,65,23,1,225,5,2023-05-21,2025-12-18 23:17:52,1
477,152,3,3,334,2,2023-02-08,2025-12-18 16:43:03,1
478,492,18,1,171,1,2023-11-08,2025-12-18 01:07:28,1
479,293,24,5,319,3,2023-04-07,2025-12-18 06:09:21,1
480,759,4,5,124,3,,,0
481,842,20,4,90,3,2023-01-25,2025-12-18 12:22:57,1
482,956,24,3,117,1,,,0
483,481,9,2,33,4,,,0
484,392,2,1,165,2,2023-06-22,2025-12-18 22:09:11,1
485,382,13,2,220,1,,,0
486,476,22,5,331,2,,,0
487,547,1,3,185,5,,,0
488,606,1,3,69,3,2023-04-05,2025-12-18 02:37:58,1
489,121,16,1,29,4,2023-07-10,2025-12-18 08:50:35,1
490,290,10,3,190,2,,,0
491,756,8,3,222,5,2023-12-28,2025-12-18 20:04:52,1
492,77,6,3,117,3,,,0
493,37,25,1,257,2,,,0
494,100,18,2,231,2,,,0
495,106,17,1,64,1,,,0
496,376,5,1,298,2,2023-11-11,2025-12-18 01:37:02,1
497,195,7,4,301,3,,,0
498,475,24,3,95,3,,,0
499,346,24,2,258,4,,,0
500,25,12,4,74,4,2023-07-20,2025-12-18 13:00:48,1
501,467,24,5,265,5,2023-05-24,2025-12-18 14:15:31,1
502,427,12,2,322,4,,,0
503,774,11,1,320,5,,,0
504,42,5,5,241,5,2023-01-02,2025-12-18 19:44:53,1
505,726,21,5,315,4,2023-08-16,2025-12-18 16:23:36,1
506,727,8,5,206,5,,,0
507,597,25,4,183,5,,,0
508,602,4,3,135,4,2023-04-21,2025-12-18 18:23:41,1
509,459,11,4,302,2,2023-11-22,2025-12-18 19:38:50,1
510,412,16,5,266,4,,,0
511,340,21,1,9,5,,,0
512,296,10,3,14,5,2023-08-10,2025-12-18 21:09:36,1
513,792,19,1,333,5,,,0
514,945,2,4,154,2,2023-09-23,2025-12-18 16:47:28,1
515,92,14,5,125,1,2023-05-27,2025-12-18 18:54:47,1
516,983,14,4,150,3,2023-07-07,2025-12-18 01:30:05,1
517,316,8,2,57,1,,,0
518,714,6,2,342,4,2023-02-01,2025-12-18 19:30:05,1
519,631,22,5,233,1,2023-08-11,2025-12-18 19:56:34,1
520,732,22,3,299,5,,,0
521,484,23,2,144,2,2023-02-20,2025-12-18 01:25:30,1
522,406,14,3,19,1,,,0
523,745,18,2,107,5,2023-09-16,2025-12-18 21:08:22,1
524,23,1,5,328,2,2023-11-03,2025-12-18 11:18:02,1
525,178,22,4,226,1,,,0
526,372,11,1,9,2,2023-08-14,2025-12-18 00:30:24,1
527,903,19,4,158,4,2023-06-18,2025-12-18 08:25:26,1
528,598,9,5,289,4,2023-08-17,2025-12-18 15:25:07,1
529,603,24,4,105,3,,,0
530,372,18,4,216,2,2023-05-31,2025-12-18 14:02:23,1
531,46,23,4,178,3,,,0
532,836,3,5,190,2,,,0
533,322,1,1,64,4,,,0
534,420,22,4,171,1,2023-08-14,2025-12-18 06:54:27,1
535,105,23,3,80,1,2023-06-05,2025-12-18 12:08:25,1
536,358,14,4,13,2,,,0
537,543,13,2,86,3,2023-10-19,2025-12-18 04:36:03,1
538,115,8,2,323,4,2023-02-12,2025-12-18 23:09:13,1
539,620,11,2,209,3,,,0
540,623,9,3,144,2,,,0
541,978,16,3,104,3,2023-01-08,2025-12-18 12:05:26,1
542,420,7,1,353,1,2023-09-27,2025-12-18 18:58:28,1
543,576,16,5,115,5,2023-08-03,2025-12-18 20:54:23,1
544,150,13,1,172,5,,,0
545,650,4,1,65,1,,,0
546,609,4,4,54,1,,,0
